GameOver TIMESTEP: 197, STATE: observe, EPSILON: 0.4, ACTION: 4, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 6.354838709677419, Standard Deviation Of Score: 15.596832571529003, Flaps: 198, Average Flaps: 96.61290322580645, Standard Deviation Of Flaps: 68.38207528734075
GameOver TIMESTEP: 305, STATE: observe, EPSILON: 0.4, ACTION: 6, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 108, Average Reward: 9.53125, Standard Deviation Of Score: 23.418721643964684, Flaps: 306, Average Flaps: 103.15625, Standard Deviation Of Flaps: 76.53271742161975
GameOver TIMESTEP: 306, STATE: observe, EPSILON: 0.4, ACTION: 8, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 9.272727272727273, Standard Deviation Of Score: 23.10748629481393, Flaps: 307, Average Flaps: 109.33333333333333, Standard Deviation Of Flaps: 83.0708593717898
GameOver TIMESTEP: 307, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 9.029411764705882, Standard Deviation Of Score: 22.808003360685436, Flaps: 308, Average Flaps: 115.17647058823529, Standard Deviation Of Flaps: 88.45619407309017
GameOver TIMESTEP: 333, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 26, Average Reward: 9.514285714285714, Standard Deviation Of Score: 22.656908663895027, Flaps: 334, Average Flaps: 121.42857142857143, Standard Deviation Of Flaps: 94.49846127675026
GameOver TIMESTEP: 334, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 9.277777777777779, Standard Deviation Of Score: 22.383787673610648, Flaps: 335, Average Flaps: 127.36111111111111, Standard Deviation Of Flaps: 99.56771921600165
GameOver TIMESTEP: 335, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 9.054054054054054, Standard Deviation Of Score: 22.119999445220106, Flaps: 336, Average Flaps: 133.0, Standard Deviation Of Flaps: 103.87726645655674
GameOver TIMESTEP: 336, STATE: observe, EPSILON: 0.4, ACTION: 4, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 8.842105263157896, Standard Deviation Of Score: 21.86504819134804, Flaps: 337, Average Flaps: 138.3684210526316, Standard Deviation Of Flaps: 107.57724790088272
GameOver TIMESTEP: 499, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 163, Average Reward: 12.794871794871796, Standard Deviation Of Score: 32.55069378691035, Flaps: 500, Average Flaps: 147.64102564102564, Standard Deviation Of Flaps: 120.5960596327594
GameOver TIMESTEP: 500, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.5, Standard Deviation Of Score: 32.193943529800755, Flaps: 501, Average Flaps: 156.475, Standard Deviation Of Flaps: 131.23775895297817
GameOver TIMESTEP: 501, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.21951219512195, Standard Deviation Of Score: 31.848354244053642, Flaps: 502, Average Flaps: 164.90243902439025, Standard Deviation Of Flaps: 140.15754286987
GameOver TIMESTEP: 502, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 11.952380952380953, Standard Deviation Of Score: 31.513377643812508, Flaps: 503, Average Flaps: 172.95238095238096, Standard Deviation Of Flaps: 147.76089958683934
GameOver TIMESTEP: 602, STATE: observe, EPSILON: 0.4, ACTION: 5, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 100, Average Reward: 14.0, Standard Deviation Of Score: 33.853995676372, Flaps: 603, Average Flaps: 182.95348837209303, Standard Deviation Of Flaps: 159.77003146068267
GameOver TIMESTEP: 603, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 13.704545454545455, Standard Deviation Of Score: 33.52311247852643, Flaps: 604, Average Flaps: 192.52272727272728, Standard Deviation Of Flaps: 169.95246509704407
GameOver TIMESTEP: 627, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 24, Average Reward: 13.933333333333334, Standard Deviation Of Score: 33.18326217973286, Flaps: 628, Average Flaps: 202.2, Standard Deviation Of Flaps: 179.895969938184
GameOver TIMESTEP: 628, STATE: observe, EPSILON: 0.4, ACTION: 5, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 13.652173913043478, Standard Deviation Of Score: 32.874740793360246, Flaps: 629, Average Flaps: 211.47826086956522, Standard Deviation Of Flaps: 188.5017286427985
GameOver TIMESTEP: 629, STATE: observe, EPSILON: 0.4, ACTION: 8, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 13.382978723404255, Standard Deviation Of Score: 32.57433606154716, Flaps: 630, Average Flaps: 220.38297872340425, Standard Deviation Of Flaps: 196.02144402790933
GameOver TIMESTEP: 630, STATE: observe, EPSILON: 0.4, ACTION: 8, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 13.125, Standard Deviation Of Score: 32.281718897853004, Flaps: 631, Average Flaps: 228.9375, Standard Deviation Of Flaps: 202.6409392507266
GameOver TIMESTEP: 641, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 11, Average Reward: 13.081632653061224, Standard Deviation Of Score: 31.952028286482193, Flaps: 642, Average Flaps: 237.3673469387755, Standard Deviation Of Flaps: 208.89306842453726
GameOver TIMESTEP: 642, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.84, Standard Deviation Of Score: 31.67608561675511, Flaps: 643, Average Flaps: 245.48, Standard Deviation Of Flaps: 214.4493637202032
GameOver TIMESTEP: 643, STATE: observe, EPSILON: 0.4, ACTION: 6, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.607843137254902, Standard Deviation Of Score: 31.406929690799846, Flaps: 644, Average Flaps: 253.2941176470588, Standard Deviation Of Flaps: 219.4078746435369
GameOver TIMESTEP: 659, STATE: observe, EPSILON: 0.4, ACTION: 3, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 16, Average Reward: 12.673076923076923, Standard Deviation Of Score: 31.106962585597696, Flaps: 660, Average Flaps: 261.11538461538464, Standard Deviation Of Flaps: 224.35202883022183
GameOver TIMESTEP: 660, STATE: observe, EPSILON: 0.4, ACTION: 3, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.452830188679245, Standard Deviation Of Score: 30.85300880574519, Flaps: 661, Average Flaps: 268.66037735849056, Standard Deviation Of Flaps: 228.78884913091818
GameOver TIMESTEP: 661, STATE: observe, EPSILON: 0.4, ACTION: 4, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.24074074074074, Standard Deviation Of Score: 30.60497126477935, Flaps: 662, Average Flaps: 275.94444444444446, Standard Deviation Of Flaps: 232.7811256720265
GameOver TIMESTEP: 662, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.036363636363637, Standard Deviation Of Score: 30.36263471401749, Flaps: 663, Average Flaps: 282.9818181818182, Standard Deviation Of Flaps: 236.3813937385621
GameOver TIMESTEP: 671, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 9, Average Reward: 11.982142857142858, Standard Deviation Of Score: 30.093005280907633, Flaps: 672, Average Flaps: 289.92857142857144, Standard Deviation Of Flaps: 239.85939759001502
GameOver TIMESTEP: 672, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 11.789473684210526, Standard Deviation Of Score: 29.862689766226165, Flaps: 673, Average Flaps: 296.64912280701753, Standard Deviation Of Flaps: 243.00714675997395
GameOver TIMESTEP: 673, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 11.60344827586207, Standard Deviation Of Score: 29.6374295357864, Flaps: 674, Average Flaps: 303.1551724137931, Standard Deviation Of Flaps: 245.85984244772175
GameOver TIMESTEP: 674, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 11.423728813559322, Standard Deviation Of Score: 29.417049933226064, Flaps: 675, Average Flaps: 309.45762711864404, Standard Deviation Of Flaps: 248.44788165620204
GameOver TIMESTEP: 675, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 11.25, Standard Deviation Of Score: 29.201384099616465, Flaps: 676, Average Flaps: 315.56666666666666, Standard Deviation Of Flaps: 250.7976851745025
GameOver TIMESTEP: 728, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 53, Average Reward: 11.934426229508198, Standard Deviation Of Score: 29.442285222058032, Flaps: 729, Average Flaps: 322.344262295082, Standard Deviation Of Flaps: 254.21346943238322
GameOver TIMESTEP: 729, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 11.758064516129032, Standard Deviation Of Score: 29.23634805968087, Flaps: 730, Average Flaps: 328.9193548387097, Standard Deviation Of Flaps: 257.33110956114666
GameOver TIMESTEP: 730, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 11.587301587301587, Standard Deviation Of Score: 29.0345360423541, Flaps: 731, Average Flaps: 335.3015873015873, Standard Deviation Of Flaps: 260.1800130752354
GameOver TIMESTEP: 731, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 11.421875, Standard Deviation Of Score: 28.836719586048186, Flaps: 732, Average Flaps: 341.5, Standard Deviation Of Flaps: 262.78585625942657
GameOver TIMESTEP: 816, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 85, Average Reward: 12.553846153846154, Standard Deviation Of Score: 30.01283354691444, Flaps: 817, Average Flaps: 348.81538461538463, Standard Deviation Of Flaps: 267.24324225795567
GameOver TIMESTEP: 817, STATE: observe, EPSILON: 0.4, ACTION: 6, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.378787878787879, Standard Deviation Of Score: 29.818016290498925, Flaps: 818, Average Flaps: 355.92424242424244, Standard Deviation Of Flaps: 271.333145927606
GameOver TIMESTEP: 818, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.208955223880597, Standard Deviation Of Score: 29.626801759395708, Flaps: 819, Average Flaps: 362.8358208955224, Standard Deviation Of Flaps: 275.0920929659481
GameOver TIMESTEP: 840, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 22, Average Reward: 12.352941176470589, Standard Deviation Of Score: 29.431757910502427, Flaps: 841, Average Flaps: 369.86764705882354, Standard Deviation Of Flaps: 279.0621849533438
GameOver TIMESTEP: 841, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.18840579710145, Standard Deviation Of Score: 29.24919191863768, Flaps: 842, Average Flaps: 376.71014492753625, Standard Deviation Of Flaps: 282.72038224146775
GameOver TIMESTEP: 842, STATE: observe, EPSILON: 0.4, ACTION: 3, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.028571428571428, Standard Deviation Of Score: 29.069852537132213, Flaps: 843, Average Flaps: 383.37142857142857, Standard Deviation Of Flaps: 286.0955470482131
GameOver TIMESTEP: 880, STATE: observe, EPSILON: 0.4, ACTION: 5, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 38, Average Reward: 12.394366197183098, Standard Deviation Of Score: 29.026204223779366, Flaps: 881, Average Flaps: 390.38028169014086, Standard Deviation Of Flaps: 290.06295412835317
GameOver TIMESTEP: 881, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.23611111111111, Standard Deviation Of Score: 28.854757481583302, Flaps: 882, Average Flaps: 397.2083333333333, Standard Deviation Of Flaps: 293.73140307562926
GameOver TIMESTEP: 969, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 88, Average Reward: 13.273972602739725, Standard Deviation Of Score: 29.979107005065504, Flaps: 970, Average Flaps: 405.05479452054794, Standard Deviation Of Flaps: 299.2140796999887
GameOver TIMESTEP: 970, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 13.108108108108109, Standard Deviation Of Score: 29.809561121535868, Flaps: 971, Average Flaps: 412.7027027027027, Standard Deviation Of Flaps: 304.28443884369955
GameOver TIMESTEP: 971, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.946666666666667, Standard Deviation Of Score: 29.642713925834947, Flaps: 972, Average Flaps: 420.16, Standard Deviation Of Flaps: 308.9817703360507
GameOver TIMESTEP: 972, STATE: observe, EPSILON: 0.4, ACTION: 2, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.789473684210526, Standard Deviation Of Score: 29.478500546327556, Flaps: 973, Average Flaps: 427.4342105263158, Standard Deviation Of Flaps: 313.3402529085559
GameOver TIMESTEP: 973, STATE: observe, EPSILON: 0.4, ACTION: 4, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.636363636363637, Standard Deviation Of Score: 29.3168579183621, Flaps: 974, Average Flaps: 434.53246753246754, Standard Deviation Of Flaps: 317.3898248115577
GameOver TIMESTEP: 974, STATE: observe, EPSILON: 0.4, ACTION: 6, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 12.487179487179487, Standard Deviation Of Score: 29.15772474932721, Flaps: 975, Average Flaps: 441.46153846153845, Standard Deviation Of Flaps: 321.1568708593936
GameOver TIMESTEP: 1082, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 108, Average Reward: 13.69620253164557, Standard Deviation Of Score: 30.877608301809804, Flaps: 1083, Average Flaps: 449.5822784810127, Standard Deviation Of Flaps: 327.07791846781544
GameOver TIMESTEP: 1083, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 13.5375, Standard Deviation Of Score: 30.716422215974312, Flaps: 1084, Average Flaps: 457.5125, Standard Deviation Of Flaps: 332.5821700629034
GameOver TIMESTEP: 1084, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 13.382716049382717, Standard Deviation Of Score: 30.557603123812875, Flaps: 1085, Average Flaps: 465.25925925925924, Standard Deviation Of Flaps: 337.70744069487995
GameOver TIMESTEP: 1085, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 13.231707317073171, Standard Deviation Of Score: 30.401098656530376, Flaps: 1086, Average Flaps: 472.8292682926829, Standard Deviation Of Flaps: 342.486809604579
GameOver TIMESTEP: 1093, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 8, Average Reward: 13.168674698795181, Standard Deviation Of Score: 30.222794906800335, Flaps: 1094, Average Flaps: 480.31325301204816, Standard Deviation Of Flaps: 347.09770603563635
GameOver TIMESTEP: 1094, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 13.023809523809524, Standard Deviation Of Score: 30.071334313466874, Flaps: 1095, Average Flaps: 487.6309523809524, Standard Deviation Of Flaps: 351.4073331674438
